"Aperitif";"Charcuterie";"Rouge Sec"
"Aperitif";"Grenouille";"Blanc Sec"
"Aperitif";"Crustace";"Blanc Sec"
"Aperitif";"Aspic de Poisson";"Blanc Sec"
"Aperitif";"Legumes Cuits";"Rose Sec"
"Aperitif";"Olives";"Rose Sec"
"Aperitif";"Verrine de Poisson";"Blanc Sec"
"Aperitif";"Verrine de Foie Gras";"Blanc Doux"
"Aperitif";"Oeufs de Caille";"Blanc Sec"
"Aperitif";"Creme Veloute Mousse";"Blanc Sec"
"Entree";"Foie Gras";"Blanc Doux"
"Entree";"Fruit exotique";"Blanc Doux"
"Entree";"Escargot";"Rouge Sec"
"Entree";"Tartare de poisson";"Blanc Sec"
"Entree";"Salade composee";"Rouge Sec"
"Entree";"Soupe de poisson";"Rose Sec"
"Entree";"Soupe de legumes";"Blanc Sec"
"Entree";"Terrine";"Rouge Sec"
"Entree";"Carpaccio de viande crue";"Rouge Sec"
"Entree";"Assiete de crudites";"Rose Sec"
"Plat Principal";"Abats à la plancha";"Rouge Sec"
"Plat Principal";"Cassoulet";"Rouge Sec"
"Plat Principal";"Brandade de poisson";"Blanc Sec"
"Plat Principal";"Sandwich";"Rouge Doux"
"Plat Principal";"Raclette";"Blanc Sec"
"Plat Principal";"Pot au feu";"Rouge Sec"
"Plat Principal";"Pomme de terre";"Blanc Sec"
"Plat Principal";"Plateau de fruits de mer";"Blanc Sec"
"Plat Principal";"Ratatouille";"Rose Sec"
"Plat Principal";"Ravioles à la viande";"Rouge Sec"
"Plat Principal";"Riz pilaf";"Rose Sec"
"Plat Principal";"Viande Rouge";"Rouge Sec"
"Plat Principal";"Viande Blanche";"Rouge Doux"
"Plat Principal";"Magret de canard";"Rouge Sec"
"Plat Principal";"Tartiflette";"Blanc Sec"
"Plat Principal";"Andouillettes";"Rouge Sec"
"Plat Principal";"Poisson";"Blanc Sec"
"Plat Principal";"Pizza";"Rose Doux"
"Plat Principal";"Risotto";"Blanc Sec"
"Plat Principal";"Legume";"Blanc Sec"
"Plat Principal";"Pates aux legumes";"Blanc Sec"
"Plat Principal";"Pates au fromage";"Blanc Sec"
"Plat Principal";"Pates a la viande";"Rouge Sec"
"Plat Principal";"Tortilla";"Rose Sec"
"Plat Principal";"Couscous";"Rose Sec"
"Fromage";"Fromage a pate fraiche";"Blanc Sec"
"Fromage";"Fromage a pate pressee non cuite";"Rouge Sec"
"Fromage";"Fromage a pate persillee cuite";"Blanc Doux"
"Fromage";"Fromage a pate pressee cuite";"Blanc Sec"
"Fromage";"Fromage a pate molle";"Rouge Doux"
"Fromage";"Fromage a pate persillee non cuite ou crue";"Blanc Doux"
"Fromage";"Fromage a pate presse demi cuite";"Blanc Sec"
"Fromage";"Salade de fromage";"Rose Sec"
"Dessert";"Chocolat";"Blanc Doux"
"Dessert";"Crepe ou gauffre";"Blanc Doux"
"Dessert";"Flan aux oeufs";"Blanc Doux"
"Dessert";"Clafoutis";"Rose Doux"
"Dessert";"Gateau aux fruits";"Blanc Doux"
"Dessert";"Tarte aux fruits";"Blanc Doux"
"Dessert";"Confiserie";"Blanc Doux"
"Dessert";"Pain perdu";"Blanc Doux"
"Dessert";"Pudding";"Rose Doux"
"Dessert";"Oeufs a la neige";"Blanc Doux"
