"Alsace grand cru";"AOC-AOP";"Alsace"
"Cremant d'Alsace";"AOC-AOP";"Alsace"
"Beaujolais";"AOC-AOP";"Beaujolais"
"Beaujolais Villages";"AOC-AOP";"Beaujolais"
"Brouilly";"AOC-AOP";"Beaujolais"
"Chenas";"AOC-AOP";"Beaujolais"
"Chiroubles";"AOC-AOP";"Beaujolais"
"Cote de Brouilly";"AOC-AOP";"Beaujolais"
"Fleurie";"AOC-AOP";"Beaujolais"
"Julienas";"AOC-AOP";"Beaujolais"
"Morgon";"AOC-AOP";"Beaujolais"
"Moulin-a-Vent";"AOC-AOP";"Beaujolais"
"Regnie";"AOC-AOP";"Beaujolais"
"Saint-Amour";"AOC-AOP";"Beaujolais"
"Comtes Rhodaniens";"IGP";"Beaujolais"
"Saone-et-Loire";"IGP";"Beaujolais"
"Cotes de Bordeaux";"AOC-AOP";"Bordeaux"
"Barsac";"AOC-AOP";"Bordeaux"
"Blaye";"AOC-AOP";"Bordeaux"
"Bordeaux";"AOC-AOP";"Bordeaux"
"Bordeaux superieur";"AOC-AOP";"Bordeaux"
"Cadillac";"AOC-AOP";"Bordeaux"
"Canon Fronsac";"AOC-AOP";"Bordeaux"
"Cerons";"AOC-AOP";"Bordeaux"
"Cotes de Blaye";"AOC-AOP";"Bordeaux"
"Cotes de Bordeaux-Saint-Macaire";"AOC-AOP";"Bordeaux"
"Cotes de Bourg, Bourg et Bourgeais";"AOC-AOP";"Bordeaux"
"Cremant de Bordeaux";"AOC-AOP";"Bordeaux"
"Entre-deux-Mers";"AOC-AOP";"Bordeaux"
"Fronsac";"AOC-AOP";"Bordeaux"
"Graves";"AOC-AOP";"Bordeaux"
"Graves de Vayres";"AOC-AOP";"Bordeaux"
"Graves superieures";"AOC-AOP";"Bordeaux"
"Haut-Medoc";"AOC-AOP";"Bordeaux"
"Lalande-de-Pomerol";"AOC-AOP";"Bordeaux"
"Listrac-Medoc";"AOC-AOP";"Bordeaux"
"Loupiac";"AOC-AOP";"Bordeaux"
"Lussac-Saint-Emilion";"AOC-AOP";"Bordeaux"
"Margaux";"AOC-AOP";"Bordeaux"
"Medoc";"AOC-AOP";"Bordeaux"
"Montagne-Saint-Emilion";"AOC-AOP";"Bordeaux"
"Moulis";"AOC-AOP";"Bordeaux"
"Neac";"AOC-AOP";"Bordeaux"
"Pauillac";"AOC-AOP";"Bordeaux"
"Pessac-Leognan";"AOC-AOP";"Bordeaux"
"Pomerol";"AOC-AOP";"Bordeaux"
"Premieres Cotes de Bordeaux";"AOC-AOP";"Bordeaux"
"Puisseguin-Saint-Emilion";"AOC-AOP";"Bordeaux"
"Saint-Emilion";"AOC-AOP";"Bordeaux"
"Saint-Emilion grand cru";"AOC-AOP";"Bordeaux"
"Saint-Estephe";"AOC-AOP";"Bordeaux"
"Saint-Georges-Saint-Emilion";"AOC-AOP";"Bordeaux"
"Saint-Julien";"AOC-AOP";"Bordeaux"
"Sainte-Croix-du-Mont";"AOC-AOP";"Bordeaux"
"Sainte-Foy-Bordeaux";"AOC-AOP";"Bordeaux"
"Sauternes";"AOC-AOP";"Bordeaux"
"Atlantique";"IGP";"Bordeaux"
"Perigord";"IGP";"Bordeaux"
"Aloxe-Corton";"AOC-AOP";"Bourgogne"
"Auxey-Duresses";"AOC-AOP";"Bourgogne"
"Batard-Montrachet";"AOC-AOP";"Bourgogne"
"Beaune";"AOC-AOP";"Bourgogne"
"Bienvenues-Batard-Montrachet";"AOC-AOP";"Bourgogne"
"Blagny";"AOC-AOP";"Bourgogne"
"Bonnes-Mares";"AOC-AOP";"Bourgogne"
"Bourgogne";"AOC-AOP";"Bourgogne"
"Bourgogne aligote";"AOC-AOP";"Bourgogne"
"Bourgogne mousseux";"AOC-AOP";"Bourgogne"
"Bourgogne Passe-tout-grains";"AOC-AOP";"Bourgogne"
"Bouzeron";"AOC-AOP";"Bourgogne"
"Chablis";"AOC-AOP";"Bourgogne"
"Chablis Grand Cru";"AOC-AOP";"Bourgogne"
"Chambertin";"AOC-AOP";"Bourgogne"
"Chambertin-Clos de Beze";"AOC-AOP";"Bourgogne"
"Chambolle-Musigny";"AOC-AOP";"Bourgogne"
"Chapelle-Chambertin";"AOC-AOP";"Bourgogne"
"Charlemagne";"AOC-AOP";"Bourgogne"
"Corton-Charlemagne";"AOC-AOP";"Bourgogne"
"Coteaux Bourguignons";"AOC-AOP";"Bourgogne"
"Cremant de Bourgogne";"AOC-AOP";"Bourgogne"
"Macon";"AOC-AOP";"Bourgogne"
"Mercurey";"AOC-AOP";"Bourgogne"
"Meursault";"AOC-AOP";"Bourgogne"
"Montagny";"AOC-AOP";"Bourgogne"
"Monthelie";"AOC-AOP";"Bourgogne"
"Montrachet";"AOC-AOP";"Bourgogne"
"Morey-Saint-Denis";"AOC-AOP";"Bourgogne"
"Musigny";"AOC-AOP";"Bourgogne"
"Nuits-Saint-Georges";"AOC-AOP";"Bourgogne"
"Pernand-Vergelesses";"AOC-AOP";"Bourgogne"
"Petit Chablis";"AOC-AOP";"Bourgogne"
"Pommard";"AOC-AOP";"Bourgogne"
"Rully";"AOC-AOP";"Bourgogne"
"Santenay";"AOC-AOP";"Bourgogne"
"Volnay";"AOC-AOP";"Bourgogne"
"Vougeot";"AOC-AOP";"Bourgogne"
"Aloxe-Corton";"IGP";"Bourgogne"
"Corton-Charlemagne";"IGP";"Bourgogne"
"Coteaux de l'Auxois";"IGP";"Bourgogne"
"Coteaux de Tannay";"IGP";"Bourgogne"
"Sainte-Marie-la-Blanche";"IGP";"Bourgogne"
"Saone-et-Loire";"IGP";"Bourgogne"
"Volnay";"IGP";"Bourgogne"
"Yonne";"IGP";"Bourgogne"
"Champagne";"AOC-AOP";"Champagne"
"Coteaux champenois";"AOC-AOP";"Champagne"
"Rose des Riceys";"AOC-AOP";"Champagne"
"Coteaux de Coiffy";"IGP";"Champagne"
"Haute-Marne";"IGP";"Champagne"
"Anjou";"AOC-AOP";"Loire"
"Bourgueil";"AOC-AOP";"Loire"
"Cabernet d'Anjou";"AOC-AOP";"Loire"
"Chinon";"AOC-AOP";"Loire"
"Cremant de Loire";"AOC-AOP";"Loire"
"Haut-Poitou";"AOC-AOP";"Loire"
"Muscadet";"AOC-AOP";"Loire"
"Muscadet Coteaux de la Loire";"AOC-AOP";"Loire"
"Rose d'Anjou";"AOC-AOP";"Loire"
"Rosé de Loire";"AOC-AOP";"Loire"
"Saint-Nicolas-de-Bourgueil";"AOC-AOP";"Loire"
"Saint-Pourçain";"AOC-AOP";"Loire"
"Sancerre";"AOC-AOP";"Loire"
"Saumur";"AOC-AOP";"Loire"
"Calvados";"IGP";"Loire"
"Comtes Rhodaniens";"IGP";"Loire"
"Coteaux du Cher et de l'Arnon";"IGP";"Loire"
"Cotes de la Charité";"IGP";"Loire"
"Haute-Vienne";"IGP";"Loire"
"Puy-de-Dome";"IGP";"Loire"
"Urfe";"IGP";"Loire"
"Saint-Pourçain";"IGP";"Loire"
"Val de Loire";"IGP";"Loire"
"Bandol";"AOC-AOP";"Corse"
"Bellet";"AOC-AOP";"Corse"
"Muscat du Cap Corse";"AOC-AOP";"Corse"
"Patrimonio";"AOC-AOP";"Corse"
"Pierrevert";"AOC-AOP";"Corse"
"Vin de Corse";"AOC-AOP";"Corse"
"Chateau Neuf du Pape";"AOC-AOP";"Rhone"
"Cornas";"AOC-AOP";"Rhone"
"Hermitage";"AOC-AOP";"Rhone"
"Luberon";"AOC-AOP";"Rhone"
"Ventoux";"AOC-AOP";"Rhone"
"Cotes de Bergerac";"AOC-AOP";"Sud-Ouest"
"Gaillac";"AOC-AOP";"Sud-Ouest"
"Jurancon";"AOC-AOP";"Sud-Ouest"
"Madiran";"AOC-AOP";"Sud-Ouest"
"Marcillac";"AOC-AOP";"Sud-Ouest"
"Monbazillac";"AOC-AOP";"Sud-Ouest"
"Montravel";"AOC-AOP";"Sud-Ouest"
"Rosette";"AOC-AOP";"Sud-Ouest"
"Saussignac";"AOC-AOP";"Sud-Ouest"
"Tursan";"AOC-AOP";"Sud-Ouest"
"Collioure";"AOC-AOP";"Sud-Ouest"
"Arbois";"AOC-AOP";"Alsace"
"Cotes du Rhone";"AOC-AOP";"Rhone"
"Banyuls";"AOC-AOP";"Sud-Ouest"
"Alpilles";"IGP";"Corse"
"Ajaccio";"AOC-AOP";"Corse"
"Sartene";"AOC-AOP";"Corse"
"Figari";"AOC-AOP";"Corse"
"Calvi";"AOC-AOP";"Corse"
"Gers";"IGP";"Sud-Ouest"
"Cotes de Provence";"AOC-AOP";"Corse"
