"Macon Fleur Blanche";"Macon";"Blanc Sec";"AOC-AOP";"2012";"0.75"
"Chateau du Breuil";"Anjou";"Rouge Doux";"AOC-AOP";"2013";"0.75"
"Riesling";"Alsace";"Blanc Sec";"AOC-AOP";"2011";"0.75"
"Chateau Moulinet";"Pomerol";"Rouge Sec";"AOC-AOP";"2012";"0.20"
"Mercurey 2010";"Mercurey";"Rouge Sec";"AOC-AOP";"2010";"0.75"
"Chateau Neuf du Pape cuvee papale";"Chateau Neuf du Pape";"Rouge Sec";"AOC-AOP";"2013";"1.5"
"Chateau la Tour de Mons";"Margaux";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Blanc Mercurey";"Mercurey";"Blanc Sec";"AOC-AOP";"2010";"0.75"
"Chateau de Pibarnon";"Bandol";"Rose Sec";"AOC-AOP";"2012";"0.75"
"Cheval noir";"Saint-Emilion";"Rouge Sec";"AOC-AOP";"2013";"1.5"
"Les Chaillots";"Aloxe-Corton";"Rouge Sec";"IGP";"2010";"0.75"
"Hermitage";"Hermitage";"Blanc Sec";"AOC-AOP";"2011";"0.75"
"Les Preuses";"Chablis";"Blanc Sec";"AOC-AOP";"2012";"0.75"
"Chevalier Pere et Fils";"Aloxe-Corton";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Coeur de Grain";"Bandol";"Rose Sec";"AOC-AOP";"2011";"1.5"
"Chateau Prieure-Lichine";"Margaux";"Rouge Sec";"AOC-AOP";"2010";"0.75"
"Chateau Rouget";"Pomerol";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Corton Charlemagne Latour";"Corton-Charlemagne";"Blanc Sec";"IGP";"2010";"0.75"
"Chateau Lafleur";"Pomerol";"Rouge Sec";"AOC-AOP";"2010";"0.75"
"L'Immortelle Chateau de La Gardine";"Chateau Neuf du Pape";"Rouge Sec";"AOC-AOP";"2012";"15"
"Chateau Coudray Montpensier";"Chinon";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"La Jouvencelle";"Saumur";"Blanc Sec";"AOC-AOP";"2013";"0.75"
"Torus 2011";"Madiran";"Rouge Sec";"AOC-AOP";"2011";"0.75"
"Ackerman";"Cremant de Loire";"Blanc Sec";"AOC-AOP";"2013";"0.75"
"Beaujolais Automne Bel Air";"Beaujolais";"Blanc Sec";"AOC-AOP";"2012";"0.75"
"Langlois-Chateau";"Cremant de Loire";"Rose Sec";"AOC-AOP";"2010";"0.75"
"Chateau de Pizay";"Beaujolais";"Rouge Doux";"AOC-AOP";"2013";"0.75"
"Chateau de Fosse-Seche";"Bourgeuil";"Blanc Doux";"AOC-AOP";"2010";"0.75"
"Madiran Ode d'Aydie";"Madiran";"Rouge Sec";"AOC-AOP";"2011";"0.75"
"Jurancon reserve royale";"Jurancon";"Blanc Doux";"AOC-AOP";"2011";"0.75"
"Saint Roch";"Puy-de-Dome";"Rouge Doux";"IGP";"2013";"0.75"
"Les Arenes";"Cornas";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Wolfberger Gewurztraminer";"Alsace";"Blanc Doux";"AOC-AOP";"2013";"0.75"
"Clos Capitoro";"Ajaccio";"Blanc Sec";"AOC-AOP";"2013";"0.75"
"Pratavone";"Ajaccio";"Rose Doux";"AOC-AOP";"2013";"0.75"
"U Cuventu";"Sartene";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Saparale";"Sartene";"Rouge Doux";"AOC-AOP";"2010";"1.5"
"Casabianca";"Calvi";"Rouge Doux";"AOC-AOP";"2013";"0.75"
"Cantera";"Saussignac";"Blanc Doux";"AOC-AOP";"2011";"0.75"
"Satellite";"Sancerre";"Blanc Sec";"AOC-AOP";"2012";"1.5"
"La Comete";"Sancerre";"Rose Sec";"AOC-AOP";"2012";"1.5"
"La Demoiselle";"Sancerre";"Rouge Sec";"AOC-AOP";"2011";"0.75"
"Moet et Chandon Saran";"Coteaux champenois";"Blanc Sec";"AOC-AOP";"2011";"0.75"
"Bouzy les Mignottes";"Coteaux champenois";"Rouge Sec";"AOC-AOP";"2012";"1.5"
"Pinot-Franc";"Coteaux champenois";"Rose Sec";"AOC-AOP";"2011";"0.75"
"Marcel Cabelier";"Arbois";"Rouge Sec";"AOC-AOP";"2012";"0.75"
"Chateau-Chalon";"Arbois";"Blanc Sec";"AOC-AOP";"2010";"0.75"
"Vin Jaune";"Arbois";"Rose Sec";"AOC-AOP";"2010";"6"
"Les Echenoz";"Cotes du Jura";"Rouge Sec";"AOC-AOP";"2011";"3"
"Bourdy Arlay Jura";"Cotes du Jura";"Blanc Sec";"AOC-AOP";"2011";"0.75"
